您好，请坐。  Assistant: 招待#您#请#坐。 Gt:您好#请#坐#
麻醉药性消失后，拔牙创口略有疼痛，一般不需要服药，若有发热、疼痛剧烈、肿胀或大量出血则应及时就诊。 Assistant: 麻药#病#变#发生#以后#牙齿#伤口#稍微#痛#但是#药物#不用#如果#热#坏#严重#肿#多#血#出Gt:五#麻#药#性#身体#去除#后#牙齿#伤口#痛#一点#会#一般#吃药#不用#如果#发烧#疼痛#忍#不行#脸#肿#或者#出血#很#必须#快#来#治疗#
除了第三磨牙与多生牙，一般成人拔牙后均需安装假牙，大约拔除后三个月后或遵医嘱进行义齿修复，不要拖延太久。 Assistant: 外#牙齿#除了#三#第二#牙齿#婴儿#牙齿#一般#成年人#手术#以后#装#假#牙齿#大概#一个月#或者#听医生#安排Gt:第六#智齿#还有#长#超#牙齿#除外#一般#大人#拔牙#后#要#做#假牙#拔牙#后#差不多#3个月#后#等#医生#命令#做#假牙#时间#拖延#不#
拔牙后要连续吃三天消炎药。  Assistant: 牙齿#手术#好了#病#药物#每天#三天。 Gt:拔牙#后#消炎药#要#连续#吃#3天#
今天拔完之后要吃消炎药。  Assistant: 明天#手术#好了#吃药#消除炎症#药物。 Gt:今天#拔牙#完#后#要#吃#消炎药#
注意一下服药说明。  Assistant: 药#注意#说明书。 Gt:吃药#前#仔细#看看#药方#单子#
可以用牙线清理牙缝。  Assistant: 牙齿#清洁#方法#一#可以用#牙刷#这#不行#刷#干净#洗#脏#东西#会#坏掉#口腔#病#发生。 Gt:牙缝#脏#清理#可以#用#牙线#
平时注意饮食，尤其是冷食。  Assistant: 平常#吃饭#特别#凉#食物#多+小心。 Gt:平时#吃饭#注意#冷#东西#特别#注意#
如果牙齿一直感觉酸，可以考虑使用抗过敏的牙膏。  Assistant: 牙齿#经常#发#变#酸#如果#可能#刷牙#药水#抵抗#反应#发生#刷#牙#奶#头#一#种。 Gt:如果#一直#感觉#牙齿#酸#可以#考虑#用#抗过敏#牙膏#刷牙#
最里面的牙齿叫智齿  Assistant: 里面#牙齿#智慧#牙。 Gt:最#里面#牙齿#是#智齿#
刷牙应该竖着刷。  Assistant: 牙刷#方向#横#不是#正确；#直#方#正#方法#正确的。 Gt:横刷牙#不好#最好#竖着刷#
想要清洁干净，需要用牙线或者冲牙器清理，牙刷很难清洁全面。  Assistant: 洗#牙齿#必须#用#牙膏水#刷头#不行#刷牙#不能#彻底#清除。 Gt:如果#要#牙齿#干净#要#用#牙线#或者#冲牙器#清理#靠#刷牙#全部#干净#难#
牙膏可以涂在酸的地方保持两分钟，之后再刷牙。  Assistant: 牙刷#挤#到#酸#地方#维持#二分钟#再#刷#牙齿。 Gt:牙齿#酸#地方#可以#用#牙膏#涂#等#2分钟#后#刷牙#
现在觉得麻了吗？  Assistant: 感觉#麻木+。 Gt:现在#感觉#麻#有#？#
牙周炎可能导致牙齿松动脱落  Assistant: 牙龈#发炎#让#牙齿#松弛#脱落。 Gt:牙周炎#可能#会#导致#牙齿#松动#脱落#
如果有高血压，拔牙可能止不住血。  Assistant: 血压#高#牙齿#出血#不能#停止。 Gt:如果#高血压#有#拔牙#时候#出血#停止#不行#
补牙有两种材料，一种进医保，还有一个自费  Assistant: 牙齿#修复#二种#材料#一#报销#保险#另外#自己#消费。 Gt:补牙#有#2#种#材料#第一#医保#第二#自费#
更好的材料相对更牢固，颜色差别不大，使用时间更长。  Assistant: 比较#好#东西#结实+#色#不同#小#时间长。 Gt:好#材料#比较#牢固#颜色#差不多#用#时间#比较#长#
即使是更好的材料，如果不小心保护，也有可能掉落。  Assistant: 更#好#东西#如果#不小心#保管#掉#会。 Gt:材料#好 #是#但是#如果#不小心#一样#可能#会#掉落#
我们医院有两种补牙的材料，好一点的材料会更密实、不容易脱落，也不容易发生第二次蛀牙，但是贵一点，需要360元每颗牙，而且是自费。普通一点的材料没有那么好，便宜一点，120元，且可以进医保。 Assistant: 医院#二#种#牙齿#东西#一#质量#高#结实+#不会#掉#会#再#坏#这#钱#多#人民币#360Gt:这里#医院#补牙#用#材料#有#2#种#质量#好#材料#比较#牢固# #不#容易#掉#一样#不#容易#会#发生#第二#次#牙齿#蛀# #但是#价格#比较#贵# #补牙#1#要#360#是#自费# #普通#材料#质量#一般#价格#比较#便宜#补牙#100#20#但是#医保#可以#
洗牙的费用部分自费，部分进医保  Assistant: 刷牙#牙齿#钱#自己#出#一些#报销#医疗保险#一部分。 Gt:洗牙#部分#费用#是#自费#部分#属于#医保#
洗牙一共330元，200元是自费的。  Assistant: 刷牙#牙齿#钱#人民币#330#自己#消费#付#人民币#200。 Gt:洗牙#一共#330#200#自费#130#医保#
抽掉牙神经后用临时填充材料填洞  Assistant: 拔#牙齿#神经#以后#暂时#增加#物质#补窟窿。 Gt:牙神经#抽掉#后#洞#填#材料#是#临时#
根管治疗需要来医院几次的  Assistant: 牙齿#病#处理#到#医院#几次。 Gt:根管#治疗#要#来#医院#总共#多少#次#？#
治疗费用大约1000元，可以使用医保。  Assistant: 病#治疗#钱#大概#人民币#一千#一#百#可以用#医疗保险。 Gt:治疗#费用#可能#1000#可以#用#医保#
根管治疗需要2到3次就诊，牙套需要再来两次，总共大约4次。  Assistant: 牙齿#病#检查#大概#四次；#口腔#保护膜#再#来#二#总#估计#差不多#六。 Gt:根管#治疗#要#来#医院#2#3#次#还有#做#牙套#要#来#2次#总共#差不多#4次#
抽牙神经治疗费用3000左右，医保。  Assistant: 拔#牙齿#神经#手术#钱#大概#人民币#三#千#保险#报销。 Gt:牙神经#抽掉#费用#3000左右#可以#医保#
根管治疗并非拔牙，只是移除牙神经。  Assistant: 牙齿#病#不是#手术#而是#去#脑#电波。 Gt:根管#治疗#不是#拔牙#意思#是#牙神经#去除#
牙套是自费项目  Assistant: 牙齿#固定#设备#自己#消费#项目。 Gt:做#牙套#全部#是#自费#
有三种不同价格的牙套可供选择：1000多元，3000多元，和6000多元。 Assistant: 挑选#种类#三#价钱#差别#多#一#万#元#到#三千#元#六千#元#这#三种#提供#选#来。Gt:有#3种#牙套#可以#给你#选择#价格#全部#不同#差#1000多#当中#3000多#好#6000多#
可以选择全瓷假牙  Assistant: 挑选#瓷器#假牙齿#可以。 Gt:可以#选择#全瓷牙#
你这个四颗牙做假牙费用一共是14000，自费。  Assistant: 牙齿#四#做#假#齿#总#钱#人民币#一万四千元#自己#付。 Gt:这#4#牙齿#如果#要#做#假牙#费用#总共#是#14000#全部#自费#
说明做假牙的治疗流程，包括取模型、制作假牙，并安排两周后来戴牙齿。  Assistant: 说#制造#假#齿#过程#包含#采#模型#生产#假#齿#二周#来#佩戴#牙齿。 Gt:告诉你#做#假牙#治疗#流程#包括#牙齿#形状#取模#制作#假牙#最后#等#2周#后#来#戴假牙#
确认了高质量材料的牙套（3500元或6000元）不会影响核磁共振（MRI）或CT检查。 Assistant: 确定#高#质量#材料#假肢#钱#3500#或者#6000#对于#X光机#或者#电脑断层扫描#效果#无Gt:确定#好#牙套#3500#或#6000#核磁共振#或者#CT#检查#影响#不会#
种植牙是自费的  Assistant: 种植#牙齿#自己#消费。 Gt:牙齿#种植#全部#自费#
种植牙的费用大约在8000到10000元。  Assistant: 种植#牙齿#费用#大概#人民币#八万#九千#一万。 Gt:牙齿#种植#1#费用#差不多#8000~10000#
比较不同国家品牌的种植牙，费用和质量。  Assistant: 对比#种#牙齿#品牌#钱#质量。 Gt:不同#国家#不同#品牌#费用#质量#一样#不同#
介绍种植牙的过程，包括放置种植钉和种植牙冠。  Assistant: 说#种#牙齿#过程#包含#放#种植#钉子#种植#齿#冠。 Gt:牙齿#种植#过程#介绍#包括#种植钉#还有#牙套#种植#
说明种植牙手术后的恢复时间和步骤。  Assistant: 表明#种#牙齿#手术#以后#康复#时间#过程。 Gt:告诉你#种植#牙齿#手术#后#要#做#什么#步骤#包括#什么#时间#可以#恢复#正常#
对比种植牙和传统烤瓷牙的优劣。  Assistant: 比较#种#牙齿#和#传统#烤#陶瓷#牙齿#优势#缺点。 Gt:牙齿#种植#烤瓷牙#质量#对比#
牙齿矫正包括传统的牙套和隐形的牙套。  Assistant: 脸#牙齿#改变#包含#传统#金属#箍#隐藏#钢#箍。 Gt:牙齿#矫正#有#2种#第一#钢#牙套#第二#隐藏#牙套#
隐形牙套虽然美观，但在吃饭时需要摘下来，并且比传统牙套更贵，价格大约是45000元。  Assistant: 隐藏#牙齿#套#美丽#吃饭#摘#比较#普通#齿#带#昂贵#大约#人民币#45万。 Gt:隐形#牙套#好看#但是#吃饭#时候#要#摘下来#钢#牙套#隐藏#牙套#价格#比较#隐藏#贵#价格#差不多#4#万#5#千
隐形牙套的矫正时间可能稍长一些，但效果与传统牙套相似。  Assistant: 隐藏#牙齿#固定#治疗#时间#比#传统#多#但是#效果#一样。 Gt:隐形#牙套#戴#时间#可能#比较#长#但是#效果#钢#牙套#差不多#
小孩矫正牙齿大约需要两年时间，每个月需复诊一次。  Assistant: 年#小孩儿#正畸#牙#大概#一年#二个月#月#检查#一次。 Gt:小孩#牙齿#矫正#差不多#要#2年#一个月#要#复诊#一次#2年#一直#
建议在暑假或寒假再来检查孩子的牙齿生长情况。  Assistant: 提议#假期#来#再#观察#孩子#齿#成长#变化。 Gt:建议你#等#到了#暑假#或者#寒假#孩子#带来#检查#牙齿#看看#牙齿#长#什么#样子#
