您好，请坐。  Assistant: 您#好#坐下。 Gt:您好#请#坐#
除了第三磨牙与多生牙，一般成人拔牙后均需安装假牙，大约拔除后三个月后或遵医嘱进行义齿修复，不要拖延太久。 Assistant: 仅#第三#磨牙#和#婴儿#牙齿#外#普通#成年人#拔牙#以后#全部#需要#装#假#牙齿#大概#拔#出#Gt:第六#智齿#还有#长#超#牙齿#除外#一般#大人#拔牙#后#要#做#假牙#拔牙#后#差不多#3个月#后#等#医生#命令#做#假牙#时间#拖延#不#
拔牙后要连续吃三天消炎药。  Assistant: 拔#牙齿#好了#连#天#三#消炎#吃药。 Gt:拔牙#后#消炎药#要#连续#吃#3天#
今天拔完之后要吃消炎药。  Assistant: 割#完#要#吃#消炎#药。 Gt:今天#拔牙#完#后#要#吃#消炎药#
注意一下服药说明。  Assistant: 注意#药#说明书。 Gt:吃药#前#仔细#看看#药方#单子#
可以用牙线清理牙缝。  Assistant: 用#牙齿#线#清除#牙齿#缝隙#可以。 Gt:牙缝#脏#清理#可以#用#牙线#
平时注意饮食，尤其是冷食。  Assistant: 平时#吃饭#特别#冬天#食品#多#注意。 Gt:平时#吃饭#注意#冷#东西#特别#注意#
如果牙齿一直感觉酸，可以考虑使用抗过敏的牙膏。  Assistant: 牙#这#一直#酸#苦#可以#考虑#药 #牙膏。 Gt:如果#一直#感觉#牙齿#酸#可以#考虑#用#抗过敏#牙膏#刷牙#
最里面的牙齿叫智齿  Assistant: 内#牙齿#智慧#牙#叫#智齿。 Gt:最#里面#牙齿#是#智齿#
刷牙应该竖着刷。  Assistant: 刷牙#倒#Z#方式。 Gt:横刷牙#不好#最好#竖着刷#
想要清洁干净，需要用牙线或者冲牙器清理，牙刷很难清洁全面。  Assistant: 洗#干净#想#要用#牙齿#线#或#冲洗#电动#工具#刷#毛#简单#洗#干净#困难。 Gt:如果#要#牙齿#干净#要#用#牙线#或者#冲牙器#清理#靠#刷牙#全部#干净#难#
牙膏可以涂在酸的地方保持两分钟，之后再刷牙。  Assistant: 洗腭水#摸#会#痛#二分钟#好了#还#刷。 Gt:牙齿#酸#地方#可以#用#牙膏#涂#等#2分钟#后#刷牙#
现在觉得麻了吗？  Assistant: 难受+。 Gt:现在#感觉#麻#有#？#
牙周炎可能导致牙齿松动脱落  Assistant: 牙周病#可能会#导致#牙齿#疏松#脱节。 Gt:牙周炎#可能#会#导致#牙齿#松动#脱落#
如果有高血压，拔牙可能止不住血。  Assistant: 如果#高#血压#有#拔#牙齿#停止#血#不行。 Gt:如果#高血压#有#拔牙#时候#出血#停止#不行#
补牙有两种材料，一种进医保，还有一个自费  Assistant: 补牙#材料#二#一#入#医保#还#一#自己#付钱。 Gt:补牙#有#2#种#材料#第一#医保#第二#自费#
更好的材料相对更牢固，颜色差别不大，使用时间更长。  Assistant: 好#东西#相对于#固定#牢#颜色#不同#小#时候#用#长。 Gt:好#材料#比较#牢固#颜色#差不多#用#时间#比较#长#
即使是更好的材料，如果不小心保护，也有可能掉落。  Assistant: 还#比#好#这#如果#注意#细心#保护#掉#有可能。 Gt:材料#好 #是#但是#如果#不小心#一样#可能#会#掉落#
我们医院有两种补牙的材料，好一点的材料会更密实、不容易脱落，也不容易发生第二次蛀牙，但是贵一点，需要360元每颗牙，而且是自费。普通一点的材料没有那么好，便宜一点，120元，且可以进医保。 Assistant: 口腔#病#医生#院#这#专门#治疗#牙齿#白板#硬#防虫咬#坏#还#可以#入#医疗#保险#这#特殊Gt:这里#医院#补牙#用#材料#有#2#种#质量#好#材料#比较#牢固# #不#容易#掉#一样#不#容易#会#发生#第二#次#牙齿#蛀# #但是#价格#比较#贵# #补牙#1#要#360#是#自费# #普通#材料#质量#一般#价格#比较#便宜#补牙#100#20#但是#医保#可以#
洗牙的费用部分自费，部分进医保  Assistant: 洗#牙齿#经费#自己#付#一部分#进#医疗保险。 Gt:洗牙#部分#费用#是#自费#部分#属于#医保#
洗牙一共330元，200元是自费的。  Assistant: 洗#牙齿#总#钱#人民币#330#报销#人民币#200。 Gt:洗牙#一共#330#200#自费#130#医保#
抽掉牙神经后用临时填充材料填洞  Assistant: 抽出#牙齿#神经#用#暂时#填满#材料#填#窟窿。 Gt:牙神经#抽掉#后#洞#填#材料#是#临时#
根管治疗需要来医院几次的  Assistant: 根#管理#治疗#医院#次数#问。 Gt:根管#治疗#要#来#医院#总共#多少#次#？#
治疗费用大约1000元，可以使用医保。  Assistant: 治疗#钱#大概#人民币#1000#, 病保卡#用#可以。 Gt:治疗#费用#可能#1000#可以#用#医保#
根管治疗需要2到3次就诊，牙套需要再来两次，总共大约4次。  Assistant: 根部#管理#治疗#需要#二#三#医院#检查#牙齿#套#再#来#二#总#大概#四次。 Gt:根管#治疗#要#来#医院#2#3#次#还有#做#牙套#要#来#2次#总共#差不多#4次#
抽牙神经治疗费用3000左右，医保。  Assistant: 抽#牙齿#神经#治疗#人民币#大约#3000#医疗保险。 Gt:牙神经#抽掉#费用#3000左右#可以#医保#
根管治疗并非拔牙，只是移除牙神经。  Assistant: 根管#治疗#不是#拔#牙齿#而是#移动#口腔#神经。 Gt:根管#治疗#不是#拔牙#意思#是#牙神经#去除#
牙套是自费项目  Assistant: 牙套#免费#项目#不是。 Gt:做#牙套#全部#是#自费#
有三种不同价格的牙套可供选择：1000多元，3000多元，和6000多元。  Assistant: 脸#架子#选#一#钱#1000#一些#挑选#三#钱#3000#一些#挑选#六#千#多。 Gt:有#3种#牙套#可以#给你#选择#价格#全部#不同#差#1000多#当中#3000多#好#6000多#
可以选择全瓷假牙  Assistant: 挑选#瓷器#假#牙齿#可以。 Gt:可以#选择#全瓷牙#
你这个四颗牙做假牙费用一共是14000，自费。  Assistant: 牙齿#4#假牙#钱#总#14000#自己#付。 Gt:这#4#牙齿#如果#要#做#假牙#费用#总共#是#14000#全部#自费#
说明做假牙的治疗流程，包括取模型、制作假牙，并安排两周后来戴牙齿。  Assistant: 分析#做#假#口腔#治疗#流程#包括#采取#模型#制造#假#口腔#组织#二周#以后#佩戴#牙齿。 Gt:告诉你#做#假牙#治疗#流程#包括#牙齿#形状#取模#制作#假牙#最后#等#2周#后#来#戴假牙#
确认了高质量材料的牙套（3500元或6000元）不会影响核磁共振（MRI）或CT检查。 Assistant: 肯定#高#质量#材料#假#牙齿#架子#钱#3500#或者#钱#6000#会#影响#核磁共振#MRIGt:确定#好#牙套#3500#或#6000#核磁共振#或者#CT#检查#影响#不会#
种植牙是自费的  Assistant: 种植#牙齿#自己#消费。 Gt:牙齿#种植#全部#自费#
种植牙的费用大约在8000到10000元。  Assistant: 种植#牙齿#治疗#钱#大约#8000#到#10000。 Gt:牙齿#种植#1#费用#差不多#8000~10000#
比较不同国家品牌的种植牙，费用和质量。  Assistant: 各#国家#品牌#种植#牙齿#钱#质量#比。 Gt:不同#国家#不同#品牌#费用#质量#一样#不同#
介绍种植牙的过程，包括放置种植钉和种植牙冠。  Assistant: 介绍#种#牙齿#过程#放#种植#钉#和#种植#牙齿#王。 Gt:牙齿#种植#过程#介绍#包括#种植钉#还有#牙套#种植#
说明种植牙手术后的恢复时间和步骤。  Assistant: 说#种植#牙齿#手术#以后#复原#时间#和#步骤。 Gt:告诉你#种植#牙齿#手术#后#要#做#什么#步骤#包括#什么#时间#可以#恢复#正常#
对比种植牙和传统烤瓷牙的优劣。  Assistant: 比较#生长#假牙齿#传统#金汞合金#优缺点。 Gt:牙齿#种植#烤瓷牙#质量#对比#
牙齿矫正包括传统的牙套和隐形的牙套。  Assistant: 整#齿#包含#传统#固定#透明#固定。 Gt:牙齿#矫正#有#2种#第一#钢#牙套#第二#隐藏#牙套#
隐形牙套虽然美观，但在吃饭时需要摘下来，并且比传统牙套更贵，价格大约是45000元。  Assistant: 隐藏#牙齿#套#美丽#吃饭#时候#摘#传统#牙齿#套#贵#大约#人民币#45万。 Gt:隐形#牙套#好看#但是#吃饭#时候#要#摘下来#钢#牙套#隐藏#牙套#价格#比较#隐藏#贵#价格#差不多#4#万#5#千
隐形牙套的矫正时间可能稍长一些，但效果与传统牙套相似。  Assistant: 隐藏#牙齿#套#治疗#时间长#但是#效果#传统#方式#一样。 Gt:隐形#牙套#戴#时间#可能#比较#长#但是#效果#钢#牙套#差不多#
小孩矫正牙齿大约需要两年时间，每个月需复诊一次。  Assistant: 小孩儿#改变#牙齿#大概#要#年#二#月#检查#一个月。 Gt:小孩#牙齿#矫正#差不多#要#2年#一个月#要#复诊#一次#2年#一直#
建议在暑假或寒假再来检查孩子的牙齿生长情况。  Assistant: 提议#放假#再#检查#孩子#牙齿#成长#情况。 Gt:建议你#等#到了#暑假#或者#寒假#孩子#带来#检查#牙齿#看看#牙齿#长#什么#样子#
